callsign,originCountry,lat,lon,alt,vel,dir,cat
JBU2186 ,United States,42.3,-70.9401,525.78,69.48,314.7,0
N204CE  ,United States,32.8217,-116.9434,274.32,32.49,280.95,0
N70EF   ,United States,33.7928,-118.0714,1645.92,67.35,124.42,0
NSZ5611 ,Sweden,48.8619,6.8783,11887.2,249.29,185.92,0
DAL749  ,United States,30.5464,-95.7111,10073.64,264.39,104.31,0
N484EC  ,United States,39.5951,-82.2441,13106.4,203.62,297.21,0
DAL2827 ,United States,31.9118,-82.5208,10058.4,198.11,332.64,0
IFG250  ,United States,37.2724,-87.6547,7315.2,137.55,236.9,0
ENY4001 ,United States,39.2577,-94.6684,9936.48,231.5,18.39,0
IBS1525 ,Spain,39.1934,-6.5677,11277.6,252.46,225.5,0
ASA1097 ,United States,38.2692,-121.0365,10668.0,220.53,172.49,0
UPS2598 ,United States,36.1497,-119.2478,11582.4,221.12,342.53,0
NSZ3519 ,Sweden,53.7324,6.1548,11887.2,215.08,57.6,0
BAW707  ,United Kingdom,48.8294,4.1364,10378.44,205.67,312.87,0
EJA838  ,United States,42.3741,-71.0219,,0.0,315.0,0
DAL945  ,United States,36.0798,-115.1406,,1.54,84.38,0
CEB679  ,Philippines,15.9256,117.8124,11277.6,236.67,132.53,0
N759S   ,United States,28.0541,-82.3465,304.8,49.9,180.59,0
ANZ548  ,New Zealand,-39.9303,174.2958,10668.0,231.58,20.0,0
EWG18ZT ,Germany,51.8798,5.07,6903.72,207.91,102.87,0
WZZ148  ,Hungary,43.8852,10.2015,11277.6,234.65,85.98,0
N7654Z  ,United States,26.1777,-80.4468,320.04,78.98,313.15,0
YEL98   ,United States,41.3108,-95.3346,3589.02,149.49,228.91,0
EJU86CT ,Austria,49.1715,10.1009,11597.64,233.87,33.06,0
SWT185  ,Spain,36.6186,-7.9791,6080.76,134.49,48.57,0
FFT4928 ,United States,37.833,-107.7077,10675.62,273.55,60.11,0
DAL2983 ,United States,39.697,-78.3795,8648.7,203.96,291.45,0
N900WA  ,United States,65.013,-147.5462,2377.44,76.38,26.39,0
KLM7901 ,Kingdom of the Netherlands,53.0754,6.3876,1082.04,55.8,310.89,0
N742WT  ,United States,37.8102,-87.6897,4853.94,84.76,349.51,0
SFE1    ,United States,30.3519,-97.4383,289.56,40.72,266.38,0
,United States,37.6156,-85.5666,731.52,62.69,23.2,0
N900VP  ,United States,26.7523,-83.1593,9738.36,226.73,255.14,0
BDIT31  ,Canada,31.3658,-100.484,1005.84,65.63,346.4,0
N257A   ,United States,36.6181,-85.1696,12496.8,304.38,68.9,0
ZKHZE   ,New Zealand,-41.3938,174.0448,335.28,48.12,28.76,0
KSU33   ,United States,38.797,-97.6407,,0.06,0.0,0
WZZ453  ,Hungary,40.4308,-4.4056,10370.82,192.8,69.05,0
N80YR   ,United States,35.0958,-97.9526,670.56,38.29,6.17,0
N799QS  ,United States,23.0002,-70.1494,13098.78,224.61,320.11,0
TAM8085 ,Brazil,50.9764,-1.2976,4434.84,222.01,213.95,0
N9580W  ,United States,35.7328,-89.0526,1356.36,62.35,205.93,0
UAL2059 ,United States,40.4133,-74.6836,1950.72,150.22,41.11,0
